exercise_id;exercise_name_clean;muscle_group;muscle_label;didactic_pattern_current;technical_pattern_current;issue_type;issue_details;source_file
table_067;Пуловер со штангой;спина;Широчайшие;Пуловер;пуловер;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_125;Раводка под 15*;грудь;Верх груди;Разведение рук;разведение рук;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_136;Разгибание на трицепс в кроссовере;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_133;Разгибание на трицепс в кроссовере с канатной рукояткой;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_156;Разгибание на трицепс в наклоне;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_161;Разгибание на трицепс из-за головы;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_132;Разгибание на трицепс по одной руке в кроссовере;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_123;Разгибание ног;ноги;Квадрицепс;Разгибание ног;разгибание ног;data_quality;"missing_youtube; unknown_difficulty; duplicate_name; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
ex_растяжка-на-все-тело;Растяжка на все тело;мобильность;;mobility;mobility;data_quality;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_9dca3c00c2;Растяжка на все тело;;;;;data_quality;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
table_073;Римские подтягивания;спина;Широчайшие;Вертикальная тяга;вертикальная тяга;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_121;Румынская тяга;спина;Бицепс бедра / ягодицы;Разгибание таза;разгибание таза;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_072;Рычажная тяга;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_044;Сведение и разведение ног;ноги;Приводящие / отводящие бедра;Приведение/отведение бедра;приведение отведение бедра;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_007;Сведение рук в кроссовере;грудь;Большие грудные;Сведение рук;сведение рук;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; duplicate_name; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_019;Сведение рук в кроссовере на 30-градусной скамье;грудь;Верх груди;Сведение рук;сведение рук;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_022;Сведение рук в кроссовере на горизонтальной скамье;грудь;Средняя грудь;Сведение рук;сведение рук;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_168;Сгибание Зотмана;бицепс;Бицепс / брахиалис;Сгибание локтя;сгибание локтя;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_034;Сгибание лежа по 1 ноге;ноги бицепс бедра;Бицепс бедра;Сгибание ног;сгибание ног;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_037;Сгибание ног лёжа;ноги бицепс бедра;Бицепс бедра;Сгибание ног;сгибание ног;data_quality;"missing_youtube; unknown_difficulty; duplicate_name; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
